headword,pinyin_tone,pinyin_plain,definition
分茅裂土,fēnmáoliètǔ,fenmaolietu,原指古代帝王分封诸侯时举行的仪式◇称分封诸侯。
分茅锡土,fēnmáoxītǔ,fenmaoxitu,指分封侯位和土地。
分茅胙土,fēnmáozuòtǔ,fenmaozuotu,指分封侯位和土地。
分门别户,fēnménbiéhù,fenmenbiehu,分、别分辨、区别；门一般事物的分类；户门户。指在学术上根据各自的格调或见解划清派别，各立门户。
分秒必争,fēnmiǎobìzhēng,fenmiaobizheng,一分一秒也一定要争取。形容抓紧时间。
分内之事,fènnèizhīshì,fenneizhishi,分内自己，本分。本分之内的事情。指自己应负责任的事情。
分朋引类,fēnpéngyǐnlèi,fenpengyinlei,分成派别，招引同类。
分贫振穷,fēnpínzhènqióng,fenpinzhenqiong,分财物救助穷困的人。
分情破爱,fēnqíngpòài,fenqingpoai,指对原所爱之人不忠，移情于新欢。
分三别两,fēnsānbiéliǎng,fensanbieliang,详细分说；清楚，明白。同分星擘两”。
分身减口,fēnshēnjiǎnkǒu,fenshenjiankou,指旧时荒年，为减轻家庭负担，维持生计，人口多者每使部分外出逃荒。同分房减口”。
分身无术,fēnshēnwúshù,fenshenwushu,分身分出精力照顾其他方面。没有一身同时兼顾几个方面的法术。
分守要津,fēnshǒuyàojīn,fenshouyaojin,要重要；津渡口。分别把守交通要道。
分丝析缕,fēnsīxīlǚ,fensixilv,比喻明察入微。
分条析理,fēntiáoxīlǐ,fentiaoxili,形容言谈有条有理，深刻精辟。
分庭伉礼,fēntíngkànglǐ,fentingkangli,比喻平起平坐，彼此对等的关系。同分庭抗礼”。
分外妖娆,fènwàiyāoráo,fenwaiyaorao,分外格外；妖娆妖媚艳丽。形容景色异常艳丽。
分文不名,fēnwénbùmíng,fenwenbuming,名占有。一分钱一个铜板也没有。比喻非常贫困。
分文不直,fēnwénbùzhí,fenwenbuzhi,直同值”。一分钱一文钱也不值。形容没有任何价值。
分文不值,fēnwénbùzhí,fenwenbuzhi,形容毫无价值。
分文未取,fēnwénwèiqǔ,fenwenweiqu,一个钱也不要。比喻不计报酬。同分文不取”。
分我杯羹,fēnwǒbēigēng,fenwobeigeng,羹肉汁。楚、汉相争时，刘邦答项羽的话。比喻从别人那里分享一分利益。
分香卖履,fēnxiāngmàilǚ,fenxiangmailv,旧时比喻人临死念念不忘妻儿。
分宵达曙,fēnxiāodáshǔ,fenxiaodashu,犹通宵达旦。
分鞋破镜,fēnxiépòjìng,fenxiepojing,比喻夫妻分离。
分心挂腹,fēnxīnguàfù,fenxinguafu,形容十分挂念。
分星拨两,fēnxīngbōliǎng,fenxingboliang,犹言斤斤计较。
分星擘两,fēnxīngbòliǎng,fenxingboliang,详细分说；清楚，明白。
分星劈两,fēnxīngpīliǎng,fenxingpiliang,指详细分说。
分形共气,fēnxínggòngqì,fenxinggongqi,形容父母与子女的关系十分密切◇亦用于兄弟间。
分形连气,fēnxíngliánqì,fenxinglianqi,形容父母与子女的关系十分密切◇亦用于兄弟间。
分形同气,fēnxíngtóngqì,fenxingtongqi,形容父母与子女的关系十分密切。
分烟析产,fēnyānxīchǎn,fenyanxichan,指分家。分割财产，各自过活。
分烟析生,fēnyānxīshēng,fenyanxisheng,指分家。分割财产，各自过活。同分烟析产”。
分章析句,fēnzhāngxījù,fenzhangxiju,指雕琢推敲文章。
纷纷不一,fēnfēnbùyī,fenfenbuyi,各不相同。纷纷多而杂乱。
纷纷籍籍,fēnfēnjíjí,fenfenjiji,纷纷众多。籍籍杂乱的样子。纵横交错。形容众多而且杂乱的样子。
纷纷攘攘,fēnfēnrǎngrǎng,fenfenrangrang,纷纷众多；攘攘杂乱的样子。众多且杂乱。形容人群杂乱。
纷纷扰扰,fēnfēnrǎorǎo,fenfenraorao,凌乱的样子。也形容思绪纷乱。
纷纷洋洋,fēnfēnyángyáng,fenfenyangyang,形容雪花或似雪花般散片细物纷乱飘扬。同纷纷扬扬”。
纷纷拥拥,fēnfēnyōngyōng,fenfenyongyong,指纷乱拥挤。
纷红骇绿,fēnhónghàilǜ,fenhonghailv,纷纷披；红指红花；骇散乱；绿指绿叶。纷披散乱的红花绿叶。形容花草树木随风摆动。
纷乱如麻,fēnluànrúmá,fenluanruma,麻麻团。交错杂乱像一团乱麻。
纷纭杂沓,fēnyúnzátà,fenyunzata,纷纭交错；沓重复。多而且杂乱。
纷至踏来,fēnzhìtàlái,fenzhitalai,形容接连不断的到来。
芬芳馥郁,fēnfāngfùyù,fenfangfuyu,芬芳指香气；馥香气；馥郁香气浓厚。形容香气非常浓。
焚巢荡穴,féncháodàngxué,fenchaodangxue,比喻彻底摧毁。
焚巢捣穴,féncháodǎoxué,fenchaodaoxue,比喻彻底摧毁。
焚典坑儒,féndiǎnkēngrú,fendiankengru,焚毁典籍，坑杀书生。同焚书坑儒”。
焚符破玺,fénfúpòxǐ,fenfupoxi,烧毁信符，打碎印章。
焚骨扬灰,féngǔyánghuī,fenguyanghui,烧掉尸骨，扬弃骨灰。形容非常仇视。
焚枯食淡,fénkūshídàn,fenkushidan,烤干鱼，食薄味。形容生活清苦。
焚林而猎,fénlínérliè,fenlinerlie,焚烧树木林，猎取禽兽。比喻只图眼前利益，不作长久打算。
焚林而狩,fénlínérshòu,fenlinershou,比喻取之不留余地，只顾眼前利益，不顾长远利益。
焚林而田,fénlínértián,fenlinertian,烧毁树林以猎取野兽。比喻取之不留余地，只顾眼前利益，不顾长远利益。
焚林而田，竭泽而渔,fénlínértián，jiézééryú,fenlinertian，jiezeeryu,竭使……干涸；渔打鱼。烧毁森林捕捉野兽，排干湖水去捕捉鱼。比喻只顾眼前的利益，无止境地索取而不留余地。
焚林而畋,fénlínértián,fenlinertian,比喻取之不留余地，只顾眼前利益，不顾长远利益。
焚林竭泽,fénlínjiézé,fenlinjieze,焚林而田，竭泽而渔。比喻只图眼前利益。
焚琴鬻鹤,fénqínyùhè,fenqinyuhe,犹焚琴煮鹤。比喻糟蹋美好的事物。
焚尸扬灰,fénshīyánghuī,fenshiyanghui,形容非常仇视。同焚骨扬灰”。
焚书坑儒,fénshūkēngrú,fenshukengru,焚烧；坑把人活埋；儒指书生。焚毁典籍，坑杀书生。
焚薮而田,fénsǒuértián,fensouertian,薮，林薮。比喻取之不留余地，只顾眼前利益，不顾长远利益。
焚香顶礼,fénxiāngdǐnglǐ,fenxiangdingli,犹焚香礼拜。
焚香礼拜,fénxiānlǐbài,fenxianlibai,焚香点燃香火。礼拜向尊敬的人或神灵行礼跪拜。烧香跪拜，以表尊敬服从之意。
焚香膜拜,fénxiāngmóbài,fenxiangmobai,烧香跪拜，以表尊敬服从之意。同焚香礼拜”。
焚香扫地,fénxiāngsǎodì,fenxiangsaodi,形容清幽的隐居生活。
焚舟破釜,fénzhōupòfǔ,fenzhoupofu,釜古代用的锅。烧掉船只打破锅。比喻坚决不能动摇的决心。
粉白黛黑,fěnbáidàihēi,fenbaidaihei,粉白在脸上搽粉，使脸更白；黛黑画眉毛，使眉毛更黑。泛指女子的妆饰。
粉白黛绿,fěnbáidàilǜ,fenbaidailv,泛指女子的妆饰。
粉白墨黑,fěnbáimòhēi,fenbaimohei,以粉傅面、以黛画眉。谓女子修饰容颜。同粉白黛黑”。
粉骨捐躯,fěn　gǔ　juān　qū,fen　gu　juan　qu,指粉身碎骨，献出生命。
粉骨糜躯,fěn　gǔ　mí　qū,fen　gu　mi　qu,犹粉身碎骨。
粉骨糜身,fěngǔmíshēn,fengumishen,犹言粉骨碎身。
粉骨碎身,fěngǔsuìshēn,fengusuishen,指身躯粉碎，牺牲生命。
粉面油头,fěnmiànyóutóu,fenmianyoutou,脸上扑粉，头上抹油。形容女子的化妆。
粉面朱唇,fěn　miàn　zhū　chún,fen　mian　zhu　chun,白面红唇。有时形容面颜姣美。
粉身灰骨,fěn　shēn　huī　gǔ,fen　shen　hui　gu,身体粉碎而死。比喻为了某种目的或遭到什么危险而丧失生命。同粉身碎骨”。
粉饰太平,fěnshìtàipíng,fenshitaiping,粉饰涂饰表面。把社会黑暗混乱的状况掩饰成太平的景象。
粉妆玉砌,fěnzhuāngyùqì,fenzhuangyuqi,用白粉装饰，用白玉砌成。形容雪景及人皮肤白嫩。
粉妆玉琢,fěnzhuāngyùzhuó,fenzhuangyuzhuo,白粉装饰的，白玉雕成的。形容女子妆饰的漂亮或小孩长得白净。也用来形容雪景。
粉装玉琢,fěnzhuāngyùzhuó,fenzhuangyuzhuo,白粉装饰的，白玉雕成的。形容女子妆饰的漂亮或小孩长得白净。也用来形容雪景。
瞓面盎背,suìmiànàngbèi,suimianangbei,指德性表现于外，而有温润之貌，敦厚之态。指有德者的仪态。
奋笔疾书,fènbǐjíshū,fenbijishu,奋笔提起笔来。指精神昂扬地挥笔快速书写。
奋笔直书,fènbǐzhíshū,fenbizhishu,奋笔提起笔来。指精神昂扬地挥笔快速书写。同奋笔疾书”。
奋不顾命,fènbùgùmìng,fenbuguming,犹奋不顾身。
奋发踔厉,fènfāchuōlì,fenfachuoli,奋发有为，意气昂扬。
奋发蹈厉,fènfādǎolì,fenfadaoli,奋振作；发激励；蹈踩，引伸为做，实行；厉猛烈，迅疾。精神振奋，行动迅猛。
奋发有为,fènfāyǒuwéi,fenfayouwei,奋发精神振作。精神振作，有所作为。
奋袂而起,fènmèiérqǐ,fenmeierqi,奋袂挥袖。袖子一挥站起来。形容奋然而起。
奋起直追,fènqǐzhízhuī,fenqizhizhui,振作起来，紧紧赶上去。
奋身不顾,fènshēnbùgù,fenshenbugu,犹奋不顾身。
奋武扬威,fènwǔyángwēi,fenwuyangwei,振奋勇气，施展威风。
奋勇当先,fènyǒngdāngxiān,fenyongdangxian,鼓起勇气，赶在最前面。
忿不顾身,fènbùgùshēn,fenbugushen,奋勇向前，不考虑个人安危。同奋不顾身”。
忿忿不平,fènfènbùpíng,fenfenbuping,心中不服，感到气愤。同愤愤不平”。
忿火中烧,fènhuǒzhōngshāo,fenhuozhongshao,犹言怒火中烧。
忿然作色,fènránzuòsè,fenranzuose,由于愤怒而变了脸色。
忿世嫉俗,fènshìjísú,fenshijisu,有正义感的人对黑暗的现实社会和不合理的习俗表示愤恨、憎恶。同愤世嫉俗”。
愤不顾身,fènbùgùshēn,fenbugushen,奋勇直前，不顾自身安危。
愤不欲生,fènbùyùshēng,fenbuyusheng,悲愤或气愤行不愿再活下去了。形容极度气愤。
愤愤不平,fènfènbùpíng,fenfenbuping,愤愤很生气的样子。心中不服，感到气愤。
愤风惊浪,fènfēngjīnglàng,fenfengjinglang,指狂风骇浪。
愤时疾俗,fènshíjísú,fenshijisu,有正义感的人对黑暗的现实社会和不合理的习俗表示愤恨、憎恶。同愤世嫉俗”。
愤世疾俗,fènshìjísú,fenshijisu,有正义感的人对黑暗的现实社会和不合理的习俗表示愤恨、憎恶。同愤世嫉俗”。
愤世疾邪,fènshìjíxié,fenshijixie,犹愤世嫉俗。
粪土不如,fèntúbùrú,fentuburu,还比不上粪便和泥土。形容极无价值的东西。
丰标不凡,fēngbiāobùfán,fengbiaobufan,风度仪表不同于一般。形容风度出众。
丰草长林,fēngcǎochánglín,fengcaochanglin,①茂草高林。②指隐逸之地。
丰度翩翩,fēngdùpiānpiān,fengdupianpian,丰度风采气度。翩翩洒脱的样子。形容神态举止文雅优美，超逸洒脱。同风度翩翩”。
丰富多采,fēngfùduōcǎi,fengfuduocai,采通彩”，颜色，花色。内容丰富，花色繁多，形式多样。
丰富多彩,fēngfùduōcǎi,fengfuduocai,内容丰富，花色繁多。
丰功厚利,fēnggōnghòulì,fenggonghouli,指巨大的功利。
丰功茂德,fēnggōngmàodé,fenggongmaode,巨大的功勋，隆盛的德泽。
丰功盛烈,fēnggōngshèngliè,fenggongshenglie,犹言丰功伟绩。巨大隆盛的功业。
丰功硕德,fēnggōngshuòdé,fenggongshuode,巨大的功勋，隆盛的德泽。同丰功茂德”。
丰功懿德,fēnggōngyìdé,fenggongyide,巨大的功勋，隆盛的德泽。同丰功茂德”。
丰亨豫大,fēnghēngyùdà,fenghengyuda,形容富足兴盛的太平安乐景象。
丰肌弱骨,fēngjīruògǔ,fengjiruogu,丰润的肌肤，柔嫩的骨骼。形容女子或花朵娇嫩艳丽而有丰韵。
丰肌秀骨,fēngjīxiùgǔ,fengjixiugu,丰润的肌肤，柔嫩的骨骼。形容女子或花朵娇嫩艳丽而有丰韵。同丰肌弱骨”。
丰筋多力,fēngjīnduōlì,fengjinduoli,丰丰满，丰实；筋肌腱或骨头上的韧带；多多余。书法有筋骨，笔力雄健。比喻字体结构坚实而丰满，笔力强劲有余。
丰年稔岁,fēngniánrěnsuì,fengnianrensui,稔指庄稼成熟。五谷丰登的好年景。
丰年玉荒年谷,fēngniányùhuāngniángǔ,fengnianyuhuangniangu,比喻有用的人才。
丰墙硗下,fēngqiángqiāoxià,fengqiangqiaoxia,垣墙高大，而基址峻峭。比喻根基不固。
丰墙峭阯,fēngqiángqiàozhǐ,fengqiangqiaozhi,墙高大而地基陡直。比喻根基不牢。阯，同址”。
丰墙峭址,fēngqiángqiàozhǐ,fengqiangqiaozhi,墙高大而地基陡直。比喻根基不牢。址，同址”。
丰取刻与,fēngqǔkèyǔ,fengqukeyu,丰多；刻刻薄；与给予。取之于民的多，用之于民的少。多形容残酷地剥削。
丰神绰约,fēngshénchuòyuē,fengshenchuoyue,绰约形容女子体态柔美的样子。指女子体态柔美丰满。
丰神异彩,fēngshényìcǎi,fengshenyicai,精神丰满，焕发容光。
丰屋蔀家,fēngwūzhījiā,fengwuzhijia,比喻深自隐藏，不肯出仕。也比喻高官显宦豪富丰足。
丰屋生灾,fēngwūshēngzāi,fengwushengzai,指高大其屋，将引起灾祸。
丰屋延灾,fēngwūyánzāi,fengwuyanzai,指高大其屋，将引起灾祸。同丰屋生灾”。
丰屋之过,fēngwūzhīguò,fengwuzhiguo,指高大其屋，将有覆家之祸，应引以为戒。同丰屋之戒”。
丰屋之祸,fēngwūzhīhuò,fengwuzhihuo,指高大其屋，将有覆家之祸，应引以为戒。同丰屋之戒”。
丰屋之戒,fēngwūzhījiè,fengwuzhijie,指高大其屋，将有覆家之祸，应引以为戒。
丰姿绰约,fēngzīchuòyuē,fengzichuoyue,丰姿风姿，风度姿态。绰约柔美的样子。形容女子体态柔美，神采飘逸。同丰神绰约”。
丰姿冶丽,fēngzīyělì,fengziyeli,容貌姿态艳丽到极点了。
风兵草甲,fēngbīngcǎojiǎ,fengbingcaojia,犹言草木皆兵。
风不鸣条,fēngbùmíngtiáo,fengbumingtiao,和风轻拂，树枝不发出声响。比喻社会安定。
风车雨马,fēngchēyǔmǎ,fengcheyuma,指神灵的车马。亦用以比喻迅疾、快速。
风车云马,fēngchēyúnmǎ,fengcheyunma,指神灵的车马。亦用以比喻迅疾、快速。同风车雨马”。
风掣雷行,fēngchèléixíng,fengcheleixing,掣闪过。风闪雷鸣。形容像刮风和响雷那样迅速。
风尘肮脏,fengchenangzang,fengchenangzang,在污浊的人世间挣扎。风尘指污浊，纷扰的生活。肮脏高亢刚直的样子，引申为强项挣扎的意思。
风尘碌碌,fēngchénlùlù,fengchenlulu,碌碌辛苦忙碌的样子。形容在旅途上辛苦忙碌的样子。
风尘仆仆,fēngchénpúpú,fengchenpupu,风尘指行旅，含有辛苦之意；仆仆行路劳累的样子。形容旅途奔波，忙碌劳累。
风尘之变,fēngchénzhībiàn,fengchenzhibian,风尘比喻战乱。指战争的灾乱。
风尘之会,fēngchénzhīhuì,fengchenzhihui,风尘比喻战乱；会时机。指战乱发生之际。
风驰草靡,fēngchícǎomǐ,fengchicaomi,比喻强大的势力能制服一切。同风行草靡”。
风驰电骋,fēngchídiànchěng,fengchidiancheng,形容像刮风和闪电那样迅速。同风驰电掣”。
风驰电赴,fēngchídiànfù,fengchidianfu,形容迅速赶赴。
风驰电击,fēngchídiànjī,fengchidianji,形容迅速出击。
风驰电卷,fēngchídiànjuǎn,fengchidianjuan,形容像刮风和闪电那样迅速。同风驰电掣”。
风驰电逝,fēngchídiànshì,fengchidianshi,形容像刮风和闪电那样迅速。同风驰电掣”。
风驰霆击,fēngchítíngjī,fengchitingji,形容迅速出击。同风驰电击”。
风驰雨骤,fēngchíyǔzhòu,fengchiyuzhou,形容像风雨一样迅捷猛烈。
风驰云卷,fēngchíyúnjuǎn,fengchiyunjuan,形容迅速席卷。
风驰云走,fēngchíyúnzǒu,fengchiyunzou,形容奔驰疾速。
风吹浪打,fēngchuīlàngdǎ,fengchuilangda,比喻险恶的遭遇或严峻的考验。
风吹马耳,fēngchuīmǎěr,fengchuimaer,比喻对别人的话无动于衷。
风吹日晒,fēngchuīrìshài,fengchuirishai,狂风吹，烈日晒。形容无所遮挡。
风吹雨打,fēngchuīyǔdǎ,fengchuiyuda,原指花木遭受风雨摧残。比喻恶势力对弱小者的迫害。也比喻严峻的考验。
风吹云散,fēngchuīyúnsàn,fengchuiyunsan,比喻事物的消失、完结。
风从虎，云从龙,fēngcónghǔ，yúncónglóng,fengconghu，yunconglong,比喻事物之间的相互感应。
风度翩翩,fēngdùpiānpiān,fengdupianpian,风度风采气度，指美好的举止姿态；翩翩文雅的样子。举止文雅优美。
风风雨雨,fēngfēngyǔyǔ,fengfengyuyu,不断地刮风下雨。比喻障碍重重。又比喻时代动荡，谣言纷传。
风风韵韵,fēngfēngyùnyùn,fengfengyunyun,①形容韵致、意态美好。②声音悠长婉转的样子。
风高放火，月黑杀人,fēnggāofànghuǒ，yuèhēishārén,fenggaofanghuo，yueheisharen,风高风非常大。月黑指黑夜。趁风大放火，趁黑夜杀人。形容盗匪趁机作案的行径。
风骨峭峻,fēnggǔqiàojùn,fengguqiaojun,峭峻山又高又陡。形容人很有骨气，刚直不阿。也比喻诗文书画雄健有力的风格。
风光旖旎,fēngguāngyǐnǐ,fengguangyini,形容景色柔和美好。
风光月霁,fēngguāngyuèjì,fengguangyueji,指雨过天晴时明净清新的景象。亦比喻胸襟开阔、心地坦白。
风禾尽起,fēnghéjìnqǐ,fenghejinqi,比喻顺应天心，得到天助。
风和日美,fēnghérìměi,fengherimei,微风和畅，阳光明丽。同风和日丽”。
风和日暖,fēnghérìnuǎn,fengherinuan,风很平静，阳光暖人。
风和日暄,fēnghérìxuān,fengherixuan,微风和畅，阳光温暖。见风和日暖”。
风虎云龙,fēnghǔyúnlóng,fenghuyunlong,虎啸生风，龙起生云。指同类事物相互感应。旧时也比喻圣主得贤臣，贤臣遇明君。
风花雪夜,fēnghuāxuěyè,fenghuaxueye,原指旧时诗文里经常描写的自然景物◇比喻堆砌词藻、内容贫乏空洞的诗文。
风华绝代,fēnghuájuédài,fenghuajuedai,风华风采才华；绝代冠绝当世。意思是风采才华为当世第一。
风华正茂,fēnghuázhèngmào,fenghuazhengmao,风华风采、才华；茂旺盛。正是青春焕发、风采动人和才华横溢的时候。形容青年朝气蓬勃、奋发有为的精神面貌。
风鬟雾鬓,fēnghuánwùbìn,fenghuanwubin,鬟环形发髻；鬓脸旁靠近耳朵的头发。形容女子头发的美。也形容女子头发蓬松散乱。
风鬟雨鬓,fēnghuányǔbìn,fenghuanyubin,形容妇女在外奔波劳碌，头发散乱。
风回电激,fēnghuídiànjī,fenghuidianji,形容像风那样回旋，像闪电那样迅速。
风激电飞,fēngjīdiànfēi,fengjidianfei,形容势猛。
风激电骇,fēngjīdiànhài,fengjidianhai,形容势猛。同风激电飞”。
风急浪高,fēngjílànggāo,fengjilanggao,形容风浪很大。
风景不殊,fēngjǐngbùshū,fengjingbushu,殊不同。用以悲叹国土破碎或沦亡。
风举云飞,fēngjǔyúnfēi,fengjuyunfei,凭借风云飞腾而上。同风举云摇”。
风举云摇,fēngjǔyúnyáo,fengjuyunyao,凭借风云飞腾而上。亦比喻飞黄腾达。
风谲云诡,fēngjuéyúnguǐ,fengjueyungui,谲欺诈；诡欺诈，怪诞。风云怪诞，变幻不定。比喻局势复杂多变，神秘怪诞。
风雷火炮,fēngléihuǒpào,fengleihuopao,形容十分急躁。
风雷之变,fēngléizhībiàn,fengleizhibian,指上天示警的灾异现象。
风流才子,fēngliúcáizǐ,fengliucaizi,旧指洒脱不拘，富有才学的人。
风流跌宕,fēngliúdiēdàng,fengliudiedang,跌宕为人放纵，不拘束。气度超脱，潇洒放逸。
风流千古,fēngliúqiāngǔ,fengliuqiangu,指风雅之事久远流传。
风流人物,fēngliúrénwù,fengliurenwu,风流英俊的、杰出的。指对一个时代有很大影响的人物。有时也指举止潇洒或惯于调情的人。
风流儒雅,fēngliúrúyǎ,fengliuruya,风流有文采且不拘礼法；儒雅学识深湛，气度不凡。指人文雅洒脱，学识渊博。
风流倜傥,fēngliútìtǎng,fengliutitang,风流有才学而不拘礼法；倜傥卓异，洒脱不拘。形容人有才华而言行不受世俗礼节的拘束。
风流潇洒,fēngliúxiāosǎ,fengliuxiaosa,英俊有才华，气度超脱。
风流冤孽,fēngliúyuānniè,fengliuyuannie,男女风情事而造成的冤仇罪孽。
风流韵事,fēngliúyùnshì,fengliuyunshi,风雅而有情趣的事。旧指文人诗歌吟咏及琴棋书画等活动。也指男女私情。
风流蕴藉,fēngliúyùnjiè,fengliuyunjie,蕴藉平和宽厚，含蓄内秀。形容人风雅潇洒，才华横溢。也形容文章诗画意趣飘逸含蓄。
风流罪过,fēngliúzuìguò,fengliuzuiguo,风流原为封建士大夫的所谓风雅。原指因为风雅而致的过错◇也指因搞男女关系而犯下的罪。
风马不接,fēngmǎbùjiē,fengmabujie,犹言风马牛不相及。
风马牛,fēngmǎniú,fengmaniu,风放逸，走失。指齐楚两地相离甚远，马牛不会走失至对方地界◇用以比喻事物之间毫不相干。同风马牛不相及”。
风马云车,fēngmǎyúnchē,fengmayunche,指神灵的车马。
风门水口,fēngménshuǐkǒu,fengmenshuikou,指要冲。
风靡一时,fēngmǐyīshí,fengmiyishi,风靡草木随风倒下，引伸为很风行。形容事物在一个时期里极其盛行，象风吹倒草木一样。
风木含悲,fēngmùhánbēi,fengmuhanbei,比喻因父母亡故，孝子不能奉养的悲伤。
风木之悲,fēngmùzhībēi,fengmuzhibei,风木同风树”，比喻因父母亡故，不能奉养。指丧父母的悲伤。
风木之思,fēngmùzhīsī,fengmuzhisi,比喻父母亡故，不及孝养而生的思念之情。
风牛马不相及,fēngniúmǎbùxiāngjí,fengniumabuxiangji,比喻事物彼此毫不相干。同风马牛不相及”。
风平波息,fēngpíngbōxī,fengpingboxi,风和波浪都没有。比喻平静无事。
风起水涌,fēngqǐshuǐyǒng,fengqishuiyong,大风刮起，水波汹涌。
风起云蒸,fēngqǐyúnzhēng,fengqiyunzheng,大风刮起，乌云蒸腾。比喻事物迅速兴起，声势浩大。
风前残烛,fēngqiáncánzhú,fengqiancanzhu,比喻随时可能死亡的老年人。也比喻随时可能消灭的事物。
风前月下,fēngqiányuèxià,fengqianyuexia,指良辰美景。
风樯阵马,fēngqiángzhènmǎ,fengqiangzhenma,樯船上用的桅杆。风中的樯帆，阵上的战马。比喻气势雄壮，行动迅速。
风轻云淡,fēng　qīng　yún　dàn,feng　qing　yun　dan,微风轻拂，浮云淡薄。形容天气晴好。同风轻云净”、云淡风轻”。
风轻云净,fēngqīngyúnjìng,fengqingyunjing,微风轻拂，浮云淡薄。形容天气晴好。同风轻云淡”。
风清月白,fēngqīngyuèbái,fengqingyuebai,微风清凉，月色皎洁。形容夜景幽美宜人。同风清月皎”。
风清月皎,fēngqīngyuèjiāo,fengqingyuejiao,轻风清凉，月光皎洁。形容夜景优美宜人。
风清月朗,fēngqīngyuèlǎng,fengqingyuelang,风凉爽，月明亮。
风清月明,fēngqīngyuèmíng,fengqingyueming,微风清凉，月光明朗。形容夜景美好。同风清月朗”。
风情月思,fēngqíngyuèsī,fengqingyuesi,指男女相互爱恋的情思。亦作风情月意”。
风情月意,fēngqíngyuèyì,fengqingyueyi,指男女相互爱恋的情思。同风情月思”。
风情月债,fēngqíngyuèzhài,fengqingyuezhai,比喻有关男女恋爱的事情。
风驱电击,fēngqūdiànjī,fengqudianji,形容迅速出击。同风驰电击”。
风驱电扫,fēngqūdiànsǎo,fengqudiansao,形容像刮风、闪电那样迅速驰赴和扫除。
风趣横生,fēngqùhéngshēng,fengquhengsheng,形容十分幽默、诙谐。
风声鹤唳，草木皆兵,fēngshēnghèlì，cǎomùjiēbīng,fengshengheli，caomujiebing,唳鸟鸣。听到风声和鹤叫声，都疑心是追兵。形容人在惊慌时疑神疑鬼。
风霜雨雪,fēngshuāngyǔxuě,fengshuangyuxue,比喻经历了种种艰难困苦。
风俗人情,fēngsúrénqíng,fengsurenqing,指一地相沿而成的风尚、礼节、习惯等。
风土人情,fēngtúrénqíng,fengturenqing,风土山川风俗、气候等的总称；人情人的性情、习惯。一个地方特有的自然环境和风俗、礼节、习惯的总称。
风潇雨晦,fēngxiāoyǔhuì,fengxiaoyuhui,形容风急雨骤，天色昏暗。也比喻形势险恶。
风信年华,fēngxìnniánhuá,fengxinnianhua,指女子二十四岁时。
风行草从,fēngxíngcǎocóng,fengxingcaocong,比喻有声望者的言行影响世态俗情。同风行草偃”。
风行草靡,fēngxíngcǎomí,fengxingcaomi,比喻强大的势力能制服一切。
风行草偃,fēngxíngcǎoyǎn,fengxingcaoyan,偃倒伏。风一吹草就倒下。比喻道德文教的感化人。
风行电掣,fēngxíngdiànchè,fengxingdianche,掣闪过。像风一样飞驰而过，像闪电一样一闪即逝。形容非常迅速。
风行电击,fēngxíngdiànjī,fengxingdianji,形容气势迅猛。
风行电扫,fēngxíngdiànsǎo,fengxingdiansao,形容气势迅猛。同风行电击”。
风行电照,fēngxíngdiànzhào,fengxingdianzhao,形容迅速威猛。
风行革偃,fēngxínggéyǎn,fengxinggeyan,风一吹草就倒下。比喻道德文教的感化人。
风行雷厉,fēngxíngléilì,fengxingleili,形容气势的迅疾猛烈◇多比喻执行政事法令等的迅速严格。
风行水上,fēngxíngshuǐshàng,fengxingshuishang,比喻自然流畅，不矫揉造作。
风行一时,fēngxíngyīshī,fengxingyishi,风行象刮风一样流行。形容事物在一个时期内非常盛行。
风行一世,fēngxíngyīshì,fengxingyishi,指一个时期在社会上盛行。
风行雨散,fēngxíngyǔsàn,fengxingyusan,比喻在一起的人分散到四面八方。同风流云散”。
风旋电掣,fēngxuándiànchè,fengxuandianche,掣闪过；旋奔跑。你风一样飞驰而过，像闪电一样一角即逝。形容非常迅速。
风雪交加,fēngxuějiāojiā,fengxuejiaojia,风和雪同时袭来。
风言醋语,fēngyáncùyǔ,fengyancuyu,散布嫉妒性的中伤语言。
风言雾语,fēngyánwùyǔ,fengyanwuyu,指隐约其辞的传闻。
风言影语,fēngyányǐngyǔ,fengyanyingyu,捕风捉影的话语。
风影敷衍,fēngyǐngfūyān,fengyingfuyan,指罗织罪名，捕风捉影，诬赖人。
风雨不测,fēngyǔbùcè,fengyubuce,风和云都不可预测。比喻事物或局势像风云变幻那样不可预测。
风雨不改,fēngyǔbùgǎi,fengyubugai,比喻处于恶劣环境中不变其节操。
风雨不透,fēngyǔbùtòu,fengyubutou,风刮不进，雨水透不过。形容封闭或包围得十分紧密。
风雨对床,fēngyǔduìchuáng,fengyuduichuang,指兄弟或亲友久别后重逢，共处一室倾心交谈的欢乐之情。
风雨共舟,fēngyǔgòngzhōu,fengyugongzhou,比喻共同经历患难。
风雨晦冥,fēngyǔhuìmíng,fengyuhuiming,指风雨交加，天色昏暗犹如黑夜。同风雨晦暝”。
风雨晦暝,fēngyǔhuìmíng,fengyuhuiming,指风雨交加，天色昏暗犹如黑夜。
风雨交加,fēngyǔjiāojiā,fengyujiaojia,又是刮风，又是下雨。比喻几种灾难同时袭来。
风雨连床,fēngyǔliánchuáng,fengyulianchuang,指兄弟或亲友久别后重逢，共处一室倾心交谈的欢乐之情。同风雨对床”。
